Size (in),R (in),B_min (in),bMinWhc (mm),E (in),Hole dH (mm),Area (mm²)
0.5,0.8125,1.25,-,0.625,15.875,81.29
0.625,0.9375,1.5,-,0.75,19.05,130.32
0.75,1.125,1.75,3.5433,0.8125,22.225,194.84
0.875,1.25,2.0625,4.1732,0.9375,25.4,270.32
1,1.375,2.25,4.5669,1.0625,28.575,355.48
1.125,1.5,2.5,5.0394,1.125,31.75,469.68
1.25,1.75,2.8125,5.6693,1.25,34.925,599.35
1.375,1.875,3.0625,6.1417,1.375,38.1,745.16
1.5,2,3.25,6.5354,1.5,41.275,906.45
1.625,2.125,3.5,7.0079,1.625,44.45,1083.87
1.75,2.25,3.75,7.5591,1.75,47.625,1277.42
1.875,2.375,4,8.0315,1.875,50.8,1486.45
2,2.5,4.25,8.5039,2,53.975,1710.96
2.25,2.75,4.75,9.5276,2.25,60.325,2208.38
2.5,3.0625,5.25,10.5512,2.375,66.675,2768.16
2.75,3.375,5.75,11.5748,2.625,76.2,3392.9
3,3.625,6.25,12.5197,2.875,82.55,4079.56
3.25,3.75,6.625,13.3071,3,88.9,4830.31
3.5,4.125,7.125,14.3307,3.25,95.25,5644.5
3.75,4.4375,7.625,15.2756,3.5,101.6,6521.28
4,4.625,8.125,16.2992,3.625,107.95,7461.92
4.25,4.875,8.6875,-,4,114.3,8466.43468
4.5,5,9.1875,-,4.25,120.65,9533.52932
4.75,5.155,9.5,-,4.4375,127,10664.4948
5,5.5,10.25,-,4.625,133.35,11858.0408
5.25,5.813,10.5625,-,4.875,139.7,13115.45764
5.5,6.053,10.875,-,5.0625,146.05,14436.10016
5.75,6.313,11.375,-,5.3125,152.4,15819.96836
6,6.438,11.75,-,5.5,158.75,17267.7074
